date,Temperature,stl_residual,STL robust z-score,Rolling IQR,IsolationForest,rolling_median_14,anomaly_votes,is_anomaly_consensus
2023-12-10,27.899133333333335,0.24611038560659892,False,False,False,27.580769827586202,0,False
2023-12-11,27.393132075471698,-0.16933330385323941,False,False,False,27.695036111111108,0,False
2023-12-12,27.271545454545453,-0.256813413585224,False,False,False,27.782830450733755,0,False
2023-12-13,27.387132075471698,-0.11839121635981442,False,False,False,27.773257337526204,0,False
2023-12-14,27.472010204081634,-0.11173636116462049,False,False,False,27.76368422431866,0,False
2023-12-15,27.54293965517241,-0.07490549526547596,False,False,False,27.74632311320755,0,False
2023-12-16,27.490029411764706,-0.13327081198276147,False,False,False,27.639844827586206,0,False
2023-12-17,27.771472222222222,0.17644185118373912,False,False,False,27.516484533468557,0,False
2023-12-18,27.794188679245284,0.16383245450110806,False,False,False,27.48101980792317,0,False
2023-12-19,27.77504245283019,0.08497561815307719,False,False,False,27.48101980792317,0,False
2023-12-20,27.755896226415096,0.03823037857909739,False,False,False,27.516484533468557,0,False
2023-12-21,27.73675,0.11199432985430136,False,False,False,27.552916886409733,0,False
2023-12-22,26.40745138888889,-1.1981822784183542,True,True,False,27.55609089443997,2,True
2023-12-23,26.070152173913044,-1.4364760998100259,True,True,False,27.573726007881746,2,True
2023-12-24,27.16122222222222,-0.12953521304043036,False,False,False,27.60219301155822,0,False
2023-12-25,27.31647142857143,-0.1172597204202539,False,False,False,27.573726007881746,0,False
2023-12-26,27.56289411764706,-0.10903029885204774,False,False,False,27.55609089443997,0,False
2023-12-27,27.64956896551724,-0.018864176179867798,False,False,False,27.476038572458542,0,False
2023-12-28,27.549287671232875,0.019233064800435073,False,False,False,27.35963045112782,0,False
2023-12-29,27.584557898116437,0.009511143742955142,False,False,False,27.238846825396827,0,False
2023-12-30,27.619828125,0.2497344482658974,False,False,False,27.238846825396827,0,False
2023-12-31,27.146263157894737,0.25664177090661866,False,False,False,27.238846825396827,0,False
2024-01-01,27.40278947368421,0.1882655434712177,False,False,False,27.231367293233085,0,False
2024-01-02,23.99535416666667,-3.598726875083077,True,True,False,27.054638825324183,2,True
2024-01-03,25.154395833333336,-2.2104596937869303,True,False,False,27.054638825324183,1,False
2024-01-04,26.690421052631578,-0.43125119794251177,False,False,False,27.054638825324183,0,False
2024-01-05,26.963014492753626,-0.054430104349549424,False,False,False,27.054638825324183,0,False
2024-01-06,26.430601449275365,-0.23474664104796616,False,False,False,27.054638825324183,0,False
2024-01-07,25.800361111111112,-0.46919508490323736,False,False,False,26.930385718599034,0,False
2024-01-08,26.70005319148936,-0.18416707440180602,False,False,False,26.798905067966903,0,False
2024-01-09,27.866196078431372,0.4843811364937274,False,False,False,26.798905067966903,0,False
2024-01-10,27.624655172413792,0.27680042488945134,False,False,False,26.798905067966903,0,False
2024-01-11,27.744566666666667,0.30921195963173886,False,False,False,26.930385718599034,0,False
2024-01-12,27.5168,0.09809971539120355,False,False,False,27.14899275362319,0,False
2024-01-13,26.897756944444446,-0.24065238257509947,False,False,False,27.425885507246377,0,False
2024-01-14,26.429976744186046,-0.40092326816400004,False,False,False,27.570727586206896,0,False
2024-01-15,27.334971014492755,0.022296948755975876,False,False,False,27.668852586206896,0,False
2024-01-16,26.691763157894737,-1.0231441445408826,False,True,False,27.684888700564972,1,False
2024-01-17,27.71305,0.24988915401283407,False,False,False,27.64069128677187,0,False
2024-01-18,27.94672,-0.06225733047381965,False,False,False,27.61712641242938,0,False
2024-01-19,27.894333333333332,0.09618339009449173,False,False,False,27.54716271186441,0,False
2024-01-20,27.815131355932202,0.1873273000149176,False,False,False,27.61712641242938,0,False
2024-01-21,27.735929378531075,0.27614552077072574,False,False,False,27.684888700564972,0,False
2024-01-22,27.656727401129945,-0.052755364146989336,False,False,False,27.72448968926554,0,False
2024-01-23,27.577525423728815,-0.07795001744099395,False,False,False,27.77553036723164,0,False
2024-01-24,26.748194444444444,-0.4564747122469264,False,True,False,27.77553036723164,1,False
2024-01-25,26.934015384615385,-1.3232225107521636,True,True,False,27.77553036723164,2,True
2024-01-26,27.90488888888889,-0.007277963458697911,False,False,False,27.696328389830512,0,False
2024-01-27,27.934925925925928,0.11668597045240503,False,False,False,27.61712641242938,0,False
2024-01-28,27.964962962962964,0.2603830631075503,False,False,False,27.61712641242938,0,False
2024-01-29,27.995,0.23181442033551747,False,False,False,27.61712641242938,0,False
2024-01-30,27.55192682926829,0.10383024300390176,False,False,False,27.741207156308853,0,False
2024-01-31,26.79409722222222,-0.14892308438103896,False,False,False,27.919907407407408,0,False
2024-02-01,26.677868055555553,-1.3279185254839874,True,False,False,27.949944444444448,1,False
2024-02-02,27.51331746031746,-0.060572071213346845,False,False,False,27.97998148148148,0,False
2024-02-03,29.010923611111114,1.3957325864281955,True,False,False,27.97998148148148,1,False
2024-02-04,30.00739583333333,2.572150750990449,True,False,False,27.97998148148148,1,False
2024-02-05,30.291708333333336,2.7745200050293555,True,False,False,27.91595486111111,1,False
2024-02-06,30.751250000000002,3.442987242235308,True,False,False,27.694418275745257,1,False
2024-02-07,29.95613888888889,2.843619034531617,True,False,True,27.67876736111111,2,True
2024-02-08,28.46586111111111,0.08901166772323776,False,False,True,27.67876736111111,1,False
2024-02-09,27.83690972222222,0.026130319103238264,False,False,True,27.871256944444443,1,False
2024-02-10,27.520625,-0.09002575476331742,False,False,False,27.871256944444443,0,False
2024-02-11,27.137375000000002,0.04003232248916788,False,False,False,27.67876736111111,0,False
2024-02-12,27.13748611111111,-0.16724771968841168,False,False,False,27.47992708333333,0,False
2024-02-13,26.754944444444444,-0.5059276793351053,False,False,False,27.47992708333333,0,False
2024-02-14,27.203548611111113,-0.07386818061805656,False,False,False,27.47992708333333,0,False
2024-02-15,27.905604166666667,-0.2454939936224747,False,False,False,27.47992708333333,0,False
2024-02-16,25.850659722222222,-2.1874492311548437,True,False,False,27.47992708333333,1,False
2024-02-17,26.266618055555554,-1.8373055932200266,True,False,False,27.47992708333333,1,False
2024-02-18,27.439229166666664,-0.06691748582884927,False,False,False,27.672416666666663,0,False
2024-02-19,28.20059722222222,0.008079581174545325,False,False,False,27.945559027777776,0,False
2024-02-20,28.678597222222223,0.18763161658127459,False,False,False,28.093055555555555,0,False
2024-02-21,28.994999999999997,0.438340271118026,False,False,False,28.439597222222222,0,False
2024-02-22,29.29922222222222,0.18595203201994437,False,False,False,28.64379861111111,0,False
2024-02-23,29.01478472222222,-0.1084734849092861,False,False,False,28.73342013888889,0,False
2024-02-24,29.087375,0.012714070790046605,False,False,False,28.81289236111111,0,False
2024-02-25,27.98551388888889,-0.058625783068180226,False,True,False,28.894385416666665,1,False
2024-02-26,28.837541666666667,0.23544347890810613,False,False,False,28.935302083333333,0,False
2024-02-27,29.465284722222222,0.4805306385328443,False,True,False,28.97311458333333,1,False
2024-02-28,28.608999999999998,-0.06952482820616623,False,False,False,28.97311458333333,0,False
2024-02-29,28.788243055555554,-0.14710315808758523,False,False,False,28.935302083333333,0,False
2024-03-01,29.029993055555558,0.29484800001849365,False,False,False,28.878458333333334,0,False
2024-03-02,28.951229166666664,0.6897333448512484,False,False,False,28.81289236111111,0,False
2024-03-03,28.919375000000002,1.9639299996923683,True,False,False,28.698621527777775,1,False
